Spray solution,Nozzle spacing,Boom height,Operating pressure,Nozzle type,CV
1,20,24,40,TTI11004,3.708326435
1,20,24,40,TTI11004,4.019630072
1,20,24,40,TTI11004,4.201670875
2,20,30,40,TTI11004,2.890456612
2,20,30,40,TTI11004,3.596435994
2,20,30,40,TTI11004,3.974539996
3,30,24,40,TTI11004,5.858319878
3,30,24,40,TTI11004,7.999408596
3,30,24,40,TTI11004,8.167692651
4,30,30,40,TTI11004,7.335049465
4,30,30,40,TTI11004,7.976050414
4,30,30,40,TTI11004,8.131181628
5,20,24,40,TDXL11004-D,8.352607132
5,20,24,40,TDXL11004-D,11.37782788
5,20,24,40,TDXL11004-D,10.67110266
6,20,30,40,TDXL11004-D,9.549015257
6,20,30,40,TDXL11004-D,10.23846504
6,20,30,40,TDXL11004-D,10.40281065
7,30,24,40,TDXL11004-D,12.77377881
7,30,24,40,TDXL11004-D,15.37873371
7,30,24,40,TDXL11004-D,15.50035585
8,30,30,40,TDXL11004-D,13.38381501
8,30,30,40,TDXL11004-D,14.92703561
8,30,30,40,TDXL11004-D,15.2130276
9,20,24,40,ULD 120-04,7.413838282
9,20,24,40,ULD 120-04,7.926589276
9,20,24,40,ULD 120-04,8.169754199
10,20,30,40,ULD 120-04,5.671015247
10,20,30,40,ULD 120-04,6.269914061
10,20,30,40,ULD 120-04,6.859862404
11,30,24,40,ULD 120-04,5.863469486
11,30,24,40,ULD 120-04,5.991117503
11,30,24,40,ULD 120-04,6.890056597
12,30,30,40,ULD 120-04,7.643663221
12,30,30,40,ULD 120-04,7.287257705
12,30,30,40,ULD 120-04,7.450587355
13,20,24,20,TTI11004,9.522704932
13,20,24,20,TTI11004,7.557473268
13,20,24,20,TTI11004,7.444170103
14,20,30,20,TTI11004,8.655242057
14,20,30,20,TTI11004,3.77882049
14,20,30,20,TTI11004,3.785162954
15,30,24,20,TTI11004,10.71343858
15,30,24,20,TTI11004,8.431824828
15,30,24,20,TTI11004,8.171885696
16,30,30,20,TTI11004,5.31963068
16,30,30,20,TTI11004,4.695767024
16,30,30,20,TTI11004,4.582652551
17,20,24,20,TDXL11004-D,15.87618944
17,20,24,20,TDXL11004-D,17.69347407
17,20,24,20,TDXL11004-D,17.66759313
18,20,30,20,TDXL11004-D,8.5080664
18,20,30,20,TDXL11004-D,7.92665515
18,20,30,20,TDXL11004-D,8.55488396
19,30,24,20,TDXL11004-D,20.44893189
19,30,24,20,TDXL11004-D,8.250624673
19,30,24,20,TDXL11004-D,22.9148611
20,30,30,20,TDXL11004-D,27.69807638
20,30,30,20,TDXL11004-D,23.53248431
20,30,30,20,TDXL11004-D,26.88631262
21,20,24,20,ULD 120-04,4.288226036
21,20,24,20,ULD 120-04,5.887377779
21,20,24,20,ULD 120-04,6.301065953
22,20,30,20,ULD 120-04,7.907458541
22,20,30,20,ULD 120-04,9.482538853
22,20,30,20,ULD 120-04,9.234369087
23,30,24,20,ULD 120-04,9.442946011
23,30,24,20,ULD 120-04,9.600988534
23,30,24,20,ULD 120-04,10.12608831
24,30,30,20,ULD 120-04,12.77067449
24,30,30,20,ULD 120-04,7.569253357
24,30,30,20,ULD 120-04,7.951549852
25,20,24,40,TTI11004,4.59062257
25,20,24,40,TTI11004,4.485315403
25,20,24,40,TTI11004,3.584060421
26,20,30,40,TTI11004,3.764640038
26,20,30,40,TTI11004,4.523630735
26,20,30,40,TTI11004,4.409661312
27,30,24,40,TTI11004,8.085314482
27,30,24,40,TTI11004,5.97122994
27,30,24,40,TTI11004,4.082780372
28,30,30,40,TTI11004,9.046110268
28,30,30,40,TTI11004,4.97655904
28,30,30,40,TTI11004,4.157811192
29,20,24,20,TTI11004,5.31885326
29,20,24,20,TTI11004,4.846803937
29,20,24,20,TTI11004,4.736155554
30,20,30,20,TTI11004,2.988935055
30,20,30,20,TTI11004,2.519933581
30,20,30,20,TTI11004,2.975322929
31,30,24,20,TTI11004,6.912690607
31,30,24,20,TTI11004,5.613414548
31,30,24,20,TTI11004,6.12841713
32,30,30,20,TTI11004,4.094152263
32,30,30,20,TTI11004,3.939333338
32,30,30,20,TTI11004,4.21149691
33,20,24,40,TDXL11004-D,11.85481346
33,20,24,40,TDXL11004-D,10.81504578
33,20,24,40,TDXL11004-D,10.63461699
34,20,30,40,TDXL11004-D,15.18806013
34,20,30,40,TDXL11004-D,15.43968514
34,20,30,40,TDXL11004-D,15.27061171
35,30,24,40,TDXL11004-D,19.89558898
35,30,24,40,TDXL11004-D,19.9560155
35,30,24,40,TDXL11004-D,20.15045957
36,30,30,40,TDXL11004-D,15.36590079
36,30,30,40,TDXL11004-D,14.8447626
36,30,30,40,TDXL11004-D,14.88715527
37,20,24,20,TDXL11004-D,17.30499818
37,20,24,20,TDXL11004-D,17.20326971
37,20,24,20,TDXL11004-D,17.06276833
38,20,30,20,TDXL11004-D,10.81772373
38,20,30,20,TDXL11004-D,10.94603902
38,20,30,20,TDXL11004-D,11.00946414
39,30,24,20,TDXL11004-D,19.98308852
39,30,24,20,TDXL11004-D,18.91090449
39,30,24,20,TDXL11004-D,20.45625065
40,30,30,20,TDXL11004-D,26.32789495
40,30,30,20,TDXL11004-D,26.27657655
40,30,30,20,TDXL11004-D,26.1111794
41,20,24,40,ULD 120-04,8.546601813
41,20,24,40,ULD 120-04,5.705898233
41,20,24,40,ULD 120-04,5.817977975
42,20,30,40,ULD 120-04,7.897380891
42,20,30,40,ULD 120-04,4.590309196
42,20,30,40,ULD 120-04,4.446595081
43,30,24,40,ULD 120-04,8.770199833
43,30,24,40,ULD 120-04,7.592146842
43,30,24,40,ULD 120-04,7.483066525
44,30,30,40,ULD 120-04,6.027630998
44,30,30,40,ULD 120-04,4.923045441
44,30,30,40,ULD 120-04,4.82518296
45,20,24,20,ULD 120-04,9.008813528
45,20,24,20,ULD 120-04,9.083097028
45,20,24,20,ULD 120-04,9.375009922
46,20,30,20,ULD 120-04,9.856881029
46,20,30,20,ULD 120-04,10.59107794
46,20,30,20,ULD 120-04,10.65828975
47,30,24,20,ULD 120-04,19.86687779
47,30,24,20,ULD 120-04,19.44423641
47,30,24,20,ULD 120-04,19.90397664
48,30,30,20,ULD 120-04,9.827401204
48,30,30,20,ULD 120-04,9.900316887
48,30,30,20,ULD 120-04,10.17036194
49,20,24,40,TTI11004,6.473708744
49,20,24,40,TTI11004,5.640621294
49,20,24,40,TTI11004,5.401691496
50,20,30,40,TTI11004,5.554124037
50,20,30,40,TTI11004,6.267637681
50,20,30,40,TTI11004,5.145488762
51,30,24,40,TTI11004,8.874272654
51,30,24,40,TTI11004,8.616892829
51,30,24,40,TTI11004,7.251862618
52,30,30,40,TTI11004,11.1152847
52,30,30,40,TTI11004,9.249794442
52,30,30,40,TTI11004,6.799846495
53,20,24,20,TTI11004,5.451171878
53,20,24,20,TTI11004,8.030175533
53,20,24,20,TTI11004,7.798297094
54,20,30,20,TTI11004,8.782172939
54,20,30,20,TTI11004,8.613254539
54,20,30,20,TTI11004,8.396323974
55,30,24,20,TTI11004,20.56323824
55,30,24,20,TTI11004,22.90943594
55,30,24,20,TTI11004,21.37738045
56,30,30,20,TTI11004,27.34445899
56,30,30,20,TTI11004,28.4826294
56,30,30,20,TTI11004,30.40075398
57,20,24,40,TDXL11004-D,16.10857324
57,20,24,40,TDXL11004-D,18.14755928
57,20,24,40,TDXL11004-D,16.97465252
58,20,30,40,TDXL11004-D,9.390034814
58,20,30,40,TDXL11004-D,8.102627429
58,20,30,40,TDXL11004-D,13.95939214
59,30,24,40,TDXL11004-D,21.64498549
59,30,24,40,TDXL11004-D,21.52839058
59,30,24,40,TDXL11004-D,25.31856503
60,30,30,40,TDXL11004-D,24.02896603
60,30,30,40,TDXL11004-D,21.89520927
60,30,30,40,TDXL11004-D,22.65234755
61,20,24,20,TDXL11004-D,29.54125416
61,20,24,20,TDXL11004-D,28.22435059
61,20,24,20,TDXL11004-D,26.52481061
62,20,30,20,TDXL11004-D,28.6720252
62,20,30,20,TDXL11004-D,25.93428423
62,20,30,20,TDXL11004-D,21.14644752
63,30,24,20,TDXL11004-D,36.51672276
63,30,24,20,TDXL11004-D,39.3501247
63,30,24,20,TDXL11004-D,35.21770389
64,30,30,20,TDXL11004-D,22.80777369
64,30,30,20,TDXL11004-D,23.64027426
64,30,30,20,TDXL11004-D,22.44328884
65,20,24,40,ULD 120-04,6.096903009
65,20,24,40,ULD 120-04,6.600298202
65,20,24,40,ULD 120-04,6.451837221
66,20,30,40,ULD 120-04,5.80633245
66,20,30,40,ULD 120-04,5.479506471
66,20,30,40,ULD 120-04,6.656879871
67,30,24,40,ULD 120-04,12.30382557
67,30,24,40,ULD 120-04,14.59144657
67,30,24,40,ULD 120-04,11.40643514
68,30,30,40,ULD 120-04,10.63315983
68,30,30,40,ULD 120-04,8.164485086
68,30,30,40,ULD 120-04,8.307765056
69,20,24,20,ULD 120-04,13.01628295
69,20,24,20,ULD 120-04,13.94359285
69,20,24,20,ULD 120-04,12.09652875
70,20,30,20,ULD 120-04,14.38048681
70,20,30,20,ULD 120-04,13.87542884
70,20,30,20,ULD 120-04,11.31553588
71,30,24,20,ULD 120-04,34.57407442
71,30,24,20,ULD 120-04,32.55274271
71,30,24,20,ULD 120-04,33.44639425
72,30,30,20,ULD 120-04,15.08859114
72,30,30,20,ULD 120-04,18.55167777
72,30,30,20,ULD 120-04,17.01727198
73,20,24,40,TTI11004,7.901815354
73,20,24,40,TTI11004,5.685438043
73,20,24,40,TTI11004,6.663833344
74,20,30,40,TTI11004,6.252812249
74,20,30,40,TTI11004,8.314723947
74,20,30,40,TTI11004,7.496065944
75,30,24,40,TTI11004,5.026049668
75,30,24,40,TTI11004,8.982522452
75,30,24,40,TTI11004,10.17644931
76,30,30,40,TTI11004,9.378169306
76,30,30,40,TTI11004,11.085316
76,30,30,40,TTI11004,10.74011637
77,20,24,20,TTI11004,9.735835307
77,20,24,20,TTI11004,13.3911756
77,20,24,20,TTI11004,11.93421516
78,20,30,20,TTI11004,15.93640082
78,20,30,20,TTI11004,12.16843026
78,20,30,20,TTI11004,18.63503618
79,30,24,20,TTI11004,26.96270851
79,30,24,20,TTI11004,24.51123067
79,30,24,20,TTI11004,30.72205422
80,30,30,20,TTI11004,22.454922
80,30,30,20,TTI11004,19.22472737
80,30,30,20,TTI11004,22.61446507
81,20,24,40,TDXL11004-D,20.20776597
81,20,24,40,TDXL11004-D,13.5030496
81,20,24,40,TDXL11004-D,17.27507946
82,20,30,40,TDXL11004-D,27.04908815
82,20,30,40,TDXL11004-D,25.63306866
82,20,30,40,TDXL11004-D,25.75198721
83,30,24,40,TDXL11004-D,37.99195392
83,30,24,40,TDXL11004-D,32.28192294
83,30,24,40,TDXL11004-D,31.17626151
84,30,30,40,TDXL11004-D,24.31044823
84,30,30,40,TDXL11004-D,21.36778291
84,30,30,40,TDXL11004-D,24.1496525
85,20,24,20,TDXL11004-D,38.17966415
85,20,24,20,TDXL11004-D,38.22560981
85,20,24,20,TDXL11004-D,34.1997189
86,20,30,20,TDXL11004-D,28.03475825
86,20,30,20,TDXL11004-D,24.28147651
86,20,30,20,TDXL11004-D,22.739326
87,30,24,20,TDXL11004-D,32.72925363
87,30,24,20,TDXL11004-D,33.74602967
87,30,24,20,TDXL11004-D,27.66629047
88,30,30,20,TDXL11004-D,55.53124526
88,30,30,20,TDXL11004-D,58.33273463
88,30,30,20,TDXL11004-D,59.79460628
89,20,24,40,ULD 120-04,7.55105844
89,20,24,40,ULD 120-04,6.893803888
89,20,24,40,ULD 120-04,10.89155418
90,20,30,40,ULD 120-04,9.433261731
90,20,30,40,ULD 120-04,8.697748974
90,20,30,40,ULD 120-04,9.423901462
91,30,24,40,ULD 120-04,10.15565473
91,30,24,40,ULD 120-04,9.869145111
91,30,24,40,ULD 120-04,10.46776098
92,30,30,40,ULD 120-04,14.23097866
92,30,30,40,ULD 120-04,13.34882007
92,30,30,40,ULD 120-04,11.73268341
93,20,24,20,ULD 120-04,14.54146194
93,20,24,20,ULD 120-04,12.06918476
93,20,24,20,ULD 120-04,10.88944497
94,20,30,20,ULD 120-04,16.24235143
94,20,30,20,ULD 120-04,6.823582235
94,20,30,20,ULD 120-04,8.268052465
95,30,24,20,ULD 120-04,16.83452517
95,30,24,20,ULD 120-04,13.12296661
95,30,24,20,ULD 120-04,13.11440533
96,30,30,20,ULD 120-04,10.29742819
96,30,30,20,ULD 120-04,11.4929748
96,30,30,20,ULD 120-04,11.45227839
